"","Survived","Pclass","Sex","Age","Age.factor"
"1","No","3","male",22,"17-31"
"2","Sí","1","female",38,"32-51"
"3","Sí","3","female",26,"17-31"
"4","Sí","1","female",35,"32-51"
"5","No","3","male",35,"32-51"
"6","No","3","male",25,"17-31"
"7","No","1","male",54,"52-64"
"8","No","3","male",2,"0-16"
"9","Sí","3","female",27,"17-31"
"10","Sí","2","female",14,"0-16"
"11","Sí","3","female",4,"0-16"
"12","Sí","1","female",58,"52-64"
"13","No","3","male",20,"17-31"
"14","No","3","male",39,"32-51"
"15","No","3","female",14,"0-16"
"16","Sí","2","female",55,"52-64"
"17","No","3","male",2,"0-16"
"18","Sí","2","male",30,"17-31"
"19","No","3","female",31,"17-31"
"20","Sí","3","female",21.5,"17-31"
"21","No","2","male",35,"32-51"
"22","Sí","2","male",34,"32-51"
"23","Sí","3","female",15,"0-16"
"24","Sí","1","male",28,"17-31"
"25","No","3","female",8,"0-16"
"26","Sí","3","female",38,"32-51"
"27","No","3","male",25,"17-31"
"28","No","1","male",19,"17-31"
"29","Sí","3","female",21.5,"17-31"
"30","No","3","male",25,"17-31"
"31","No","1","male",40,"32-51"
"32","Sí","1","female",35,"32-51"
"33","Sí","3","female",21.5,"17-31"
"34","No","2","male",66,"65+"
"35","No","1","male",28,"17-31"
"36","No","1","male",42,"32-51"
"37","Sí","3","male",25,"17-31"
"38","No","3","male",21,"17-31"
"39","No","3","female",18,"17-31"
"40","Sí","3","female",14,"0-16"
"41","No","3","female",40,"32-51"
"42","No","2","female",27,"17-31"
"43","No","3","male",25,"17-31"
"44","Sí","2","female",3,"0-16"
"45","Sí","3","female",19,"17-31"
"46","No","3","male",25,"17-31"
"47","No","3","male",25,"17-31"
"48","Sí","3","female",21.5,"17-31"
"49","No","3","male",25,"17-31"
"50","No","3","female",18,"17-31"
"51","No","3","male",7,"0-16"
"52","No","3","male",21,"17-31"
"53","Sí","1","female",49,"32-51"
"54","Sí","2","female",29,"17-31"
"55","No","1","male",65,"65+"
"56","Sí","1","male",40,"32-51"
"57","Sí","2","female",21,"17-31"
"58","No","3","male",28.5,"17-31"
"59","Sí","2","female",5,"0-16"
"60","No","3","male",11,"0-16"
"61","No","3","male",22,"17-31"
"62","Sí","1","female",38,"32-51"
"63","No","1","male",45,"32-51"
"64","No","3","male",4,"0-16"
"65","No","1","male",40,"32-51"
"66","Sí","3","male",25,"17-31"
"67","Sí","2","female",29,"17-31"
"68","No","3","male",19,"17-31"
"69","Sí","3","female",17,"17-31"
"70","No","3","male",26,"17-31"
"71","No","2","male",32,"32-51"
"72","No","3","female",16,"0-16"
"73","No","2","male",21,"17-31"
"74","No","3","male",26,"17-31"
"75","Sí","3","male",32,"32-51"
"76","No","3","male",25,"17-31"
"77","No","3","male",25,"17-31"
"78","No","3","male",25,"17-31"
"79","Sí","2","male",0.83,"0-16"
"80","Sí","3","female",30,"17-31"
"81","No","3","male",22,"17-31"
"82","Sí","3","male",29,"17-31"
"83","Sí","3","female",21.5,"17-31"
"84","No","1","male",28,"17-31"
"85","Sí","2","female",17,"17-31"
"86","Sí","3","female",33,"32-51"
"87","No","3","male",16,"0-16"
"88","No","3","male",25,"17-31"
"89","Sí","1","female",23,"17-31"
"90","No","3","male",24,"17-31"
"91","No","3","male",29,"17-31"
"92","No","3","male",20,"17-31"
"93","No","1","male",46,"32-51"
"94","No","3","male",26,"17-31"
"95","No","3","male",59,"52-64"
"96","No","3","male",25,"17-31"
"97","No","1","male",71,"65+"
"98","Sí","1","male",23,"17-31"
"99","Sí","2","female",34,"32-51"
"100","No","2","male",34,"32-51"
"101","No","3","female",28,"17-31"
"102","No","3","male",25,"17-31"
"103","No","1","male",21,"17-31"
"104","No","3","male",33,"32-51"
"105","No","3","male",37,"32-51"
"106","No","3","male",28,"17-31"
"107","Sí","3","female",21,"17-31"
"108","Sí","3","male",25,"17-31"
"109","No","3","male",38,"32-51"
"110","Sí","3","female",21.5,"17-31"
"111","No","1","male",47,"32-51"
"112","No","3","female",14.5,"0-16"
"113","No","3","male",22,"17-31"
"114","No","3","female",20,"17-31"
"115","No","3","female",17,"17-31"
"116","No","3","male",21,"17-31"
"117","No","3","male",70.5,"65+"
"118","No","2","male",29,"17-31"
"119","No","1","male",24,"17-31"
"120","No","3","female",2,"0-16"
"121","No","2","male",21,"17-31"
"122","No","3","male",25,"17-31"
"123","No","2","male",32.5,"32-51"
"124","Sí","2","female",32.5,"32-51"
"125","No","1","male",54,"52-64"
"126","Sí","3","male",12,"0-16"
"127","No","3","male",25,"17-31"
"128","Sí","3","male",24,"17-31"
"129","Sí","3","female",21.5,"17-31"
"130","No","3","male",45,"32-51"
"131","No","3","male",33,"32-51"
"132","No","3","male",20,"17-31"
"133","No","3","female",47,"32-51"
"134","Sí","2","female",29,"17-31"
"135","No","2","male",25,"17-31"
"136","No","2","male",23,"17-31"
"137","Sí","1","female",19,"17-31"
"138","No","1","male",37,"32-51"
"139","No","3","male",16,"0-16"
"140","No","1","male",24,"17-31"
"141","No","3","female",21.5,"17-31"
"142","Sí","3","female",22,"17-31"
"143","Sí","3","female",24,"17-31"
"144","No","3","male",19,"17-31"
"145","No","2","male",18,"17-31"
"146","No","2","male",19,"17-31"
"147","Sí","3","male",27,"17-31"
"148","No","3","female",9,"0-16"
"149","No","2","male",36.5,"32-51"
"150","No","2","male",42,"32-51"
"151","No","2","male",51,"32-51"
"152","Sí","1","female",22,"17-31"
"153","No","3","male",55.5,"52-64"
"154","No","3","male",40.5,"32-51"
"155","No","3","male",25,"17-31"
"156","No","1","male",51,"32-51"
"157","Sí","3","female",16,"0-16"
"158","No","3","male",30,"17-31"
"159","No","3","male",25,"17-31"
"160","No","3","male",25,"17-31"
"161","No","3","male",44,"32-51"
"162","Sí","2","female",40,"32-51"
"163","No","3","male",26,"17-31"
"164","No","3","male",17,"17-31"
"165","No","3","male",1,"0-16"
"166","Sí","3","male",9,"0-16"
"167","Sí","1","female",35,"32-51"
"168","No","3","female",45,"32-51"
"169","No","1","male",40,"32-51"
"170","No","3","male",28,"17-31"
"171","No","1","male",61,"52-64"
"172","No","3","male",4,"0-16"
"173","Sí","3","female",1,"0-16"
"174","No","3","male",21,"17-31"
"175","No","1","male",56,"52-64"
"176","No","3","male",18,"17-31"
"177","No","3","male",25,"17-31"
"178","No","1","female",50,"32-51"
"179","No","2","male",30,"17-31"
"180","No","3","male",36,"32-51"
"181","No","3","female",21.5,"17-31"
"182","No","2","male",30,"17-31"
"183","No","3","male",9,"0-16"
"184","Sí","2","male",1,"0-16"
"185","Sí","3","female",4,"0-16"
"186","No","1","male",40,"32-51"
"187","Sí","3","female",21.5,"17-31"
"188","Sí","1","male",45,"32-51"
"189","No","3","male",40,"32-51"
"190","No","3","male",36,"32-51"
"191","Sí","2","female",32,"32-51"
"192","No","2","male",19,"17-31"
"193","Sí","3","female",19,"17-31"
"194","Sí","2","male",3,"0-16"
"195","Sí","1","female",44,"32-51"
"196","Sí","1","female",58,"52-64"
"197","No","3","male",25,"17-31"
"198","No","3","male",42,"32-51"
"199","Sí","3","female",21.5,"17-31"
"200","No","2","female",24,"17-31"
"201","No","3","male",28,"17-31"
"202","No","3","male",25,"17-31"
"203","No","3","male",34,"32-51"
"204","No","3","male",45.5,"32-51"
"205","Sí","3","male",18,"17-31"
"206","No","3","female",2,"0-16"
"207","No","3","male",32,"32-51"
"208","Sí","3","male",26,"17-31"
"209","Sí","3","female",16,"0-16"
"210","Sí","1","male",40,"32-51"
"211","No","3","male",24,"17-31"
"212","Sí","2","female",35,"32-51"
